Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
1,,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,,"CCAFS,SLC-40",,Success,F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),"4 June 2010,18:45",
2,,Dragondemo flight C1(Dragon C101),,LEO(ISS),NASA(COTS)NRO,,"CCAFS,SLC-40",,Success[9],F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),"8 December 2010,15:43[13]",
3,,Dragondemo flight C2+[18](Dragon C102),,LEO(ISS),NASA(COTS),,"CCAFS,SLC-40","525 kg (1,157 lb)[19]",Success[20],F9 v1.0[7]B0005.1[8],No attempt,"22 May 2012,07:44[17]",
4,,SpaceX CRS-1[22](Dragon C103),,LEO(ISS),NASA(CRS),,"CCAFS,SLC-40","4,700 kg (10,400 lb)",Success,F9 v1.0[7]B0006.1[8],No attempt,"8 October 2012,00:35[21]",
5,,SpaceX CRS-2[22](Dragon C104),,LEO(ISS),NASA(CRS),,"CCAFS,SLC-40","4,877 kg (10,752 lb)",Success,F9 v1.0[7]B0007.1[8],No attempt,"1 March 2013,15:10",
6,,CASSIOPE[22][31],,Polar orbitLEO,MDA,,"VAFB,SLC-4E","500 kg (1,100 lb)",Success[30],F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],"29 September 2013,16:00[30]",
7,,SES-8[22][35][36],,GTO,SES,,"CCAFS,SLC-40","3,170 kg (6,990 lb)",Success[37],F9 v1.1B1004,No attempt[38],"3 December 2013,22:41[34]",
8,,Thaicom 6[22],,GTO,Thaicom,,"CCAFS,SLC-40","3,325 kg (7,330 lb)",Success[42],F9 v1.1,No attempt[43],"6 January 2014,22:06[41]",
9,,SpaceX CRS-3[22](Dragon C105),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","2,296 kg (5,062 lb)[45]",Success,F9 v1.1,Controlled(ocean)[d][46],"18 April 2014,19:25[21]",
10,,Orbcomm-OG2-1(6 satellites)[22],,LEO,Orbcomm,,"Cape Canaveral,LC-40","1,316 kg (2,901 lb)",Success[51],F9 v1.1,Controlled(ocean)[d][46],"14 July 2014,15:15",
11,,AsiaSat 8[22][54][55],,GTO,AsiaSat,,"Cape Canaveral,LC-40","4,535 kg (9,998 lb)",Success[56],F9 v1.1,No attempt[57],"5 August 2014,08:00",
12,,AsiaSat 6[22][54][58],,GTO,AsiaSat,,"Cape Canaveral,LC-40","4,428 kg (9,762 lb)",Success[59],F9 v1.1B1011[8],No attempt,"7 September 2014,05:00",
13,,SpaceX CRS-4[22](DragonC106.1),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","2,216 kg (4,885 lb)[62]",Success[63],F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],"21 September 2014,05:52[21]",
14,,SpaceX CRS-5[68](Dragon C107),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","2,395 kg (5,280 lb)[69]",Success[70],F9 v1.1B1012[8],Failure(drone ship),"10 January 2015,09:47[67]",
