,Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price
count,238.0,238,238.0,238,238.0,238.0,238.0,234.0,238.0,238.0,238.0,233.0,238.0
unique,,11,,2,,,,,,,,,
top,,Dell,,Full HD,,,,,,,,,
freq,,71,,161,,,,,,,,,
mean,118.5,,3.2058823529411766,,2.1512605042016806,1.0588235294117647,5.630252100840337,37.26961538461539,2.3600840336134454,7.882352941176471,245.78151260504202,1.8622317596566522,1462.3445378151262
std,68.84886830345629,,0.7765328239083642,,0.6382816523418171,0.23578999621109692,1.2417868316797052,2.9713652426257173,0.41139260416917545,2.4826026583597924,34.7653155792181,0.49433183520518004,574.6076986737143
min,0.0,,1.0,,1.0,1.0,3.0,30.48,1.2,4.0,128.0,0.81,527.0
25%,59.25,,3.0,,2.0,1.0,5.0,35.56,2.0,8.0,256.0,1.44,1066.5
50%,118.5,,3.0,,2.0,1.0,5.0,38.1,2.5,8.0,256.0,1.87,1333.0
75%,177.75,,4.0,,3.0,1.0,7.0,39.624,2.7,8.0,256.0,2.2,1777.0
max,237.0,,5.0,,3.0,2.0,7.0,43.942,2.9,16.0,256.0,3.6,3810.0
