model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Fiesta,2015,Manual,33076,Petrol,21,67.0,1.0,6903
 Tourneo Connect,2018,Manual,17792,Diesel,145,60.8,1.5,18347
 Fiesta,2019,Manual,8272,Petrol,150,57.7,1.0,15952
 Focus,2017,Manual,25556,Petrol,144,59.8,1.0,11412
 Fiesta,2018,Manual,28731,Petrol,145,47.7,1.2,5865
 Edge,2018,Automatic,29704,Diesel,146,27.8,2.0,16725
 Focus,2016,Manual,89288,Diesel,1,74.8,1.5,7414
 Focus,2017,Manual,84876,Diesel,0,85.2,1.5,7994
 Mondeo,2016,Automatic,14309,Electric,2,68.3,2.0,14701
 Kuga,2017,Semi-Auto,18445,Diesel,145,54.9,2.0,15607
 Focus,2017,Manual,8652,Petrol,145,59.3,1.0,10049
 Kuga,2017,Manual,38144,Diesel,145,88.2,1.5,17205
 Fiesta,2019,Semi-Auto,607,Petrol,150,45.0,1.6,16534
 Focus,2016,Semi-Auto,30750,Petrol,156,54.8,1.0,9570
 Kuga,2017,Semi-Auto,21714,Diesel,145,51.4,2.0,16602
 Fiesta,2017,Manual,5785,Petrol,144,53.9,1.5,8079
 Focus,2018,Automatic,5906,Petrol,145,52.4,1.0,12724
 EcoSport,2019,Manual,2392,Petrol,145,53.0,1.0,10346
 S-MAX,2018,Semi-Auto,19093,Diesel,146,25.6,2.0,13035
 Kuga,2018,Manual,34789,Diesel,144,75.6,1.5,16857
 KA,2019,Manual,7906,Petrol,145,59.2,1.2,3666
 Ka+,2018,Manual,8217,Petrol,146,52.6,1.2,9373
 EcoSport,2017,Manual,9720,Petrol,149,51.6,1.0,11737
 Mustang,2019,Semi-Auto,1318,Petrol,145,26.8,1.5,46607
 Fusion,2002,Manual,101769,Petrol,210,38.7,1.3,495
 Focus,2015,Manual,35130,Diesel,0,75.0,1.5,10727
 Kuga,2018,Semi-Auto,13785,Diesel,145,40.3,1.5,16333
 Fiesta,2016,Manual,22167,Petrol,151,59.3,1.0,13095
 Puma,2019,Manual,3810,Petrol,145,55.8,1.0,14942
 Focus,2019,Automatic,4896,Petrol,144,57.1,1.0,15058
 Ka+,2015,Manual,36358,Petrol,156,48.3,1.2,7464
 Fiesta,2019,Manual,33884,Petrol,145,61.1,1.0,14660
 Mondeo,2017,Manual,12193,Diesel,2,66.4,2.0,6855
 C-MAX,2018,Manual,16138,Petrol,145,58.2,1.0,10566
 Galaxy,2018,Manual,4415,Petrol,145,57.9,2.0,18144
 Kuga,2017,Manual,20611,Diesel,145,67.3,1.5,12448
 KA,2009,Manual,32511,Petrol,32,34.6,1.2,3035
 Galaxy,2017,Automatic,32588,Diesel,128,55.5,2.0,19896
 Ka+,2018,Manual,9999,Petrol,145,47.2,1.2,10378
 EcoSport,2014,Manual,32534,Petrol,152,44.2,1.0,6222
 Kuga,2017,Semi-Auto,15432,Diesel,150,43.2,2.0,25350
 KA,2013,Manual,17754,Petrol,30,53.7,1.2,4670
 B-MAX,2014,Manual,27000,Petrol,155,49.2,1.6,2568
 B-MAX,2014,Manual,26672,Petrol,24,47.0,1.2,2404
 Focus,2017,Automatic,7543,Petrol,149,62.4,1.0,11386
 Ka+,2019,Manual,1245,Petrol,145,48.6,1.2,16584
 Galaxy,2016,Automatic,33262,Diesel,126,56.8,2.0,17734
 Fiesta,2018,Manual,1233,Petrol,145,52.3,1.0,9508
 Fiesta,2014,Manual,27428,Petrol,152,48.3,1.2,9109
 B-MAX,2018,Manual,21578,Petrol,145,61.8,1.0,11793
 Grand C-MAX,2018,Manual,31853,Diesel,29,57.1,1.5,11865
 Mondeo,2015,Manual,88573,Diesel,0,74.8,1.5,7582
 Grand C-MAX,2016,Manual,28078,Petrol,124,58.5,1.0,10129
 EcoSport,2016,Automatic,8053,Petrol,126,67.1,1.0,9493
 Kuga,2017,Manual,7018,Petrol,145,61.9,1.0,14134
 Mondeo,2019,Manual,5237,Hybrid,144,64.0,2.0,17362
 Ka+,2018,Manual,14381,Petrol,145,57.9,1.2,9235
 Tourneo Custom,2019,Automatic,8537,Diesel,145,20.8,2.0,29405
 KA,2018,Manual,48395,Petrol,29,58.9,1.2,9896
 EcoSport,2013,Manual,30826,Petrol,155,50.7,1.0,10753
 Kuga,2016,Semi-Auto,23428,Diesel,145,54.0,2.0,10652
 Tourneo Custom,2019,Manual,1,Diesel,145,36.9,2.0,17287
 Mustang,2020,Semi-Auto,5272,Petrol,144,37.8,2.8,38537
 Kuga,2017,Manual,35052,Diesel,145,60.0,1.5,11341
 Grand C-MAX,2017,Semi-Auto,19841,Diesel,146,51.2,2.0,13972
